Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO:N2:H2O (5:5:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/41"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2065.4	1.2852		0.0009		
2073.1	1.2872		0.0009		
2080.9	1.2904		0.0012		
2088.6	1.2964		0.0037		
2096.3	1.2919		0.0014		
2098.7	1.2952		0.0015		
2101.1	1.2974		0.0011		
2103.5	1.2999		0.0006		
2105.9	1.3023		0.0008		
2108.3	1.3057		0.0003		
2110.8	1.3088		0.0007		
2113.2	1.3127		0.001		
2115.6	1.3167		0		
2116.5	1.3189		0		
2117.5	1.3213		0		
2118.5	1.3239		0		
2119.4	1.3264		0.0001		
2120.4	1.3293		0		
2121.4	1.3326		0		
2122.3	1.3358		0		
2123.3	1.3397		0		
2124.3	1.3443		0		
2125.2	1.3491		0		
2126.2	1.3549		0		
2127.2	1.3614		0		
2128.1	1.3686		0		
2129.1	1.3781		0		
2130	1.3882		0		
2130.5	1.3942		0		
2131	1.4013		0		
2131.5	1.4094		0		
2132	1.4186		0		
2132.5	1.4289		0		
2132.9	1.4387		0		
2133.4	1.4518		0		
2133.9	1.4676		0		
2134.4	1.4866		0		
2134.9	1.5098		0.0002		
2135.4	1.539		0.0038		
2135.8	1.5648		0.011		
2136.3	1.6049		0.0232		
2136.8	1.6529		0.0424		
2137.3	1.7136		0.0702		
2137.8	1.8143		0.1096		
2138.2	1.8704		0.2121		
2138.7	1.952		0.4344		
2139.2	1.891		0.7995		
2139.7	1.6565		1.0962		
2140.2	1.3327		1.1738		
2140.7	1.156		1.0445		
2141.1	0.8035		0.967		
2141.6	0.7135		0.7309		
2142.1	0.6552		0.4467		
2142.6	0.7025		0.227		
2143.1	0.787		0.124		
2143.6	0.8676		0.0717		
2144	0.9104		0.0441		
2144.5	0.969		0.0338		
2145	1.009		0.0305		
2145.5	1.0393		0.0317		
2146	1.0644		0.0368		
2146.4	1.0692		0.0406		
2146.9	1.0818		0.0414		
2147.4	1.0888		0.0371		
2147.9	1.0964		0.0307		
2148.4	1.105		0.0241		
2148.9	1.1159		0.0197		
2149.3	1.1202		0.0165		
2149.8	1.1303		0.0151		
2150.3	1.1373		0.014		
2150.8	1.1433		0.0129		
2151.3	1.1498		0.0114		
2151.7	1.1523		0.0102		
2152.2	1.1581		0.0098		
2152.7	1.1623		0.0087		
2153.2	1.1665		0.0075		
2153.7	1.1703		0.007		
2154.2	1.1743		0.0059		
2154.6	1.1763		0.0048		
2155.1	1.1806		0.0038		
2156.1	1.187		0.0037		
2157.1	1.1928		0.0033		
2158	1.1968		0.003		
2159	1.2012		0.0026		
2159.9	1.2044		0.0029		
2160.9	1.2083		0.0025		
2161.9	1.2112		0.0028		
2162.8	1.214		0.0024		
2163.8	1.2165		0.0033		
2164.8	1.2186		0.003		
2165.7	1.2203		0.0028		
2166.7	1.2229		0.003		
2167.7	1.2248		0.0033		
2168.6	1.2261		0.0034		
2169.6	1.2276		0.0027		
2172	1.2309		0.0037		
2174.4	1.2341		0.004		
2176.8	1.2361		0.0037		
2179.2	1.2378		0.0046		
2181.6	1.2392		0.0048		
2184.1	1.2417		0.0039		
2186.5	1.2423		0.0043		
2188.9	1.2438		0.0048		
2191.3	1.245		0.0048		
2193.7	1.2458		0.0045		
2196.1	1.2464		0.0051		
2204.3	1.2486		0.0045		
2211.5	1.2493		0.0045		
2219.7	1.2497		0.0034		
2227.9	1.2514		0.0009		
