Reference:	"Tran et al. (2003)"
DOI:	"doi:doi:10.1016/S0019-1035(03)00209-4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:C2H2:C2H4:H2:HC3N (0.98:0.018:3.5e-05:3e-05:0.002:1.7e-06)"
Temperature:	"297K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/282"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Relative uncertainty in k of 10% at 0.4 μm and 75% at 0.8 µm.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
2.5	1.59			2.5	0.0538		
2.45	1.54			2.45	0.0517		
2.4	1.51			2.4	0.0518		
2.35	1.47			2.35	0.0542		
2.3	1.54			2.3	0.0476		
2.25	1.59			2.25	0.0463		
2.2	1.58			2.2	0.0434		
2.15	1.54			2.15	0.0422		
2.1	1.54			2.1	0.0416		
2.05	1.55			2.05	0.0383		
2	1.55			2	0.0367		
1.95	1.56			1.95	0.0342		
1.9	1.56			1.9	0.0312		
1.85	1.56			1.85	0.031		
1.8	1.56			1.8	0.0294		
1.75	1.56			1.75	0.0275		
1.7	1.56			1.7	0.0285		
1.65	1.56			1.65	0.027		
1.6	1.56			1.6	0.0246		
1.55	1.54			1.55	0.0285		
1.5	1.57			1.5	0.0234		
1.45	1.55			1.45	0.0284		
1.4	1.55			1.4	0.0244		
1.35	1.55			1.35	0.0248		
1.3	1.55			1.3	0.0241		
1.25	1.55			1.25	0.0233		
1.2	1.55			1.2	0.0215		
1.15	1.55			1.15	0.0219		
1.1	1.55			1.1	0.0224		
1.05	1.55			1.05	0.0192		
1	1.55			1	0.0204		
0.95	1.55			0.95	0.0226		
0.9	1.55			0.9	0.0215		
0.85	1.55			0.85	0.0211		
0.8	1.55			0.8	0.0241		
0.75	1.66			0.75	0.0132		
0.7	1.64			0.7	0.0159		
0.65	1.61			0.65	0.0211		
0.6	1.59			0.6	0.0273		
0.55	1.58			0.55	0.0374		
0.5	1.57			0.5	0.0516		
0.45	1.56			0.45	0.0713		
0.4	1.55			0.4	0.0958		
0.35	1.55			0.35	0.1247		
0.3	1.55			0.3	0.1516		
0.25	1.59			0.25	0.1658		
0.2	1.7			0.2	0.152		
