Reference:	"Masterson and Khanna (1990)"
DOI:	"doi:https://doi.org/10.1016/0019-1035(90)90007-V"
Sample Type:	"Ice"
Composition:	"C4N2 (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/240"
n₁ Error Units:	The random error in n values is typically less than 1%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
468	1.644		0.0019		
472	1.73		0.0819		
475	2.253		0.2389		
476	2.318		0.9914		
477	1.549		1.349		
478	0.849		1.0454		
479	0.75		0.4648		
480	0.924		0.2199		
481	1.038		0.142		
483	1.171		0.0447		
488	1.317		0		
725	1.477		0.0006		
730	1.486		0.0033		
735	1.509		0.0219		
740	1.452		0.0589		
755	1.439		0.0107		
765	1.449		0.0006		
1150	1.467		0.0002		
1154	1.471		0.0006		
1156	1.475		0.0011		
1158	1.487		0.0096		
1159	1.494		0.0311		
1160	1.452		0.0579		
1161	1.432		0.0187		
1162	1.442		0.0049		
1164	1.453		0.0008		
2230	1.483		0		
2238	1.508		0.0005		
2240	1.533		0.0071		
2242	1.585		0.0496		
2243	1.613		0.1362		
2244	1.497		0.2736		
2245	1.318		0.1758		
2246	1.334		0.0557		
2248	1.398		0.0094		
2250	1.423		0.0033		
2260	1.452		0.0007		
